Player: 8kv7pft903k11 6opks7i4n5kqu89vxuj4x3
   nrr89 -440 360 -380
     o6b 422 203 -234
   5hgoj  -8 -153 -422
     n6d 418  -6 -211
   8u3kt 165 -439 246
   u9le9 100 -139 235
    8aqg -461 -291 171
    zcrb -188 221 226
   hnav7 -353 -247 248
   pycac 134 -196   4
   ibu1w 264 -248 -283
     c7t -479 -411 446
     dg5 -349  72 465
  zz5m5m 262 -434 279
     i3o 413 -445  64
 0etrclx 156 -421 -430
  io9lrm  35 -82 -90
  r2bo3m -294  45 375
     ibi  51 135 273
  gne94g 196 -479 325
    3umt -274  34 -478
   54rlj -315 -317 419
  ftvbrt -477 352 376
     0o5  22 108 -280
   5rc7w -356 315 248
     gow -342 -365 301
    1pja 121 -203 -488
   xvgso 472  70 -478
  cyehk8 141 -83 -317
     58i -240 201 -41
   lbaxx -204 -16 -233
   92bca 425 -20 480
 i6uoq4f 488 -97 440
    em4n   2  30 -341
  vgean2 465 -281  87
 ctqqyfp -78 -329 278
   2mmm8 -164 -188  16
     l8f 373  10 -92
    u1h5  93 -458  89
  njvt4e -369 -119 -272
     iqd 168 -255 310
  hpbidb -289 -395 258
 y08euv5 242 242 300
   osh3b 317  -2 199
  u377z2 -410 425 322
    mcfj 260 -98 345
  yx64tb  54 -358  72
    hzhg 363 240 319
   6ldna 271  36 -344
   pji6t 265 -273 -62
   toz4c 424 -219 -436
    zq5w -252 476 -13
    77ac 408  60 -321
   1n9yh 314 273 -64
   vfhwx 299 -346 355
    fb3e 340 114 -182
  mo8fgp -125 -206 -456
    kkbo 352 301 -161
   e44d9 -445 465 -362
     uch 241 -194 453
    z8oa -421 -458 -55
  01eikw 427 449 -413
  vznv36 381 -78 -192
    q5z0  41 -204 -134
   j1dxj  23 143 397
    nngx -401 -168 -419
    iewz 291 -171 207
   7of3g -309 465 358
   6umdg -122 112 263
   xc5j6 309 -316 278
     6pi 294  26 265
   274c0 346 -481 -321
  amf3p2 458 -467 250
  px4bbx 472 -467 186
     ohc  17 -233 -414
9m511siw 202 162  42
 md6xwl0 368  47 335
     6j9 357 434  68
  6936n0 258 488 450
 o7adgds  89 -343 -113
     iza 416 -399 314
  sp03hx 333 -391 288
     mp9 295 464 -394
  v06pzu -318 341 -453
    0ygn -257 475 450
 w75a9g1 494 158 337
     ef6 -272 305 308
   nfv4q -50 305  45
    bg5r -391 -249 293
    iwkl 207 -282 271
   s5ujw -307 117 -77
   teo5o -67 415 -292
    yxj3 392 247 419
     v3a  13 185 -173
    ush4 -117 -54  70
    yw53 317 -73 293
    pffs -330 365 474
  rxsmkl 358 -190 498
  7yy0iu 135 -473 499
   su790 432 438 -280
    ygn4 477 -337 159
  5d71iu -54  55 445
     bq9 -187 363 262
    c340  45  62  14
   h2cde -172 295  69
     cs0 -55 -176 482
     3o8 -236 129 -259
   5fg1c 482 -117 384
   dtph5 -224 197 -147
  56qxuu -456 -237  -8
    fo6k 320 -154 -316
    ntp9 -359 -259 282
     3o8 -236 129 -259
    u6x2 329  68 -115
    tal0 -275 -255  -5
  3a0h25 361  16 -226
  eq14ii  53 416 381
    h7rt -276 -115 -235
     3ab -121 308 -473
    mehd -348 -480 -462
 yrdsgxx 216 119 294
   35dj2 -346 -342 430
   o3rah -351 464 456
    zsli -370 -31 -442
    e5za -214 132 -194
    79sd -446 333  75
   rohkj -162 166 129
cr6wdsrt  33 454 270
    o32i 474 -30 -86
 wyw5qjb 437 199 346
 1wmyn7p -234 -46 -35
    irq3 334 488 -371
  apr83b -161  80 -66
  osryhj 147 -313 -153
    fx3v 475 -317 -288
    dtcy 167  24 -414
   occj2 -332 299 340
    zsli -370 -31 -442
   1cmyt 120 394 272
   49iax -154 -357 -298
   5g9je 180  60 409
     9ef 377 -425 193
    uedp  79 -262 -129
   p4hm9 -454 184 -271
   mxlag 217 -353 -51
   lxf69 -409 -240 444
   nzz3k -112 277 493
    j2it 105 -258 384
     9e9 486  26 -418
    ddw8 448 201 -248
   6zpus -376 -322 137
   bq4la 486 -131 -281
    f6zx -74 -296 396
  zz5m5m 262 -434 279
    58h9 -212 -184 -494
   rtyt8 273 299 -272
    fi8c 207  44 -176
  8zv4q7  62 474 147
    8iax -206 -135 179
    o3cg 270 410 179
     jlx -185 -244 100
    u4n9 -466 255 -14
  6si567 411 -319 -101
    wlv0 -45 383 -39
     f56 345   9  81
     az6 -134 -78 -400
   wey7l 341 329 419
    0zm8 -104 -119 -456
    pc74 -269  -7 -415
 8nbwqmz  -8 401 380
 e8bg29x 330 -248 -395
    djq3 233  92 109
     d4k 126 236  64
     pyw -114 390  42
    amk3  91 365 -135
  jovq24 324 -402 317
    hkj6 -12 -322 128
     jy5 -190 418 174
    q52i -283 -316 228
   llf1v -263 -409 -261
   40zry 400 -274 422
   xijhz 290 -466 208
 ryzaeqs 301 -411 -374
   e59g7 -321 263 -180
     nxl -188 -360  27
   d9tl7 -261 -68 -473
   c9ugb -382  36  63
    0ff8 -298 -143 -276
   ia6li 107 -248 -234
    miu0 131 109 -355
    ne59 -308 -347 -435
    p4g9 432 -291 226
vbjpdw0u -424 -377 -237
    87rj 435 312 -197
   mmqyv -304 -328 191
    rfmg 144 167 494
  ral5ky -47 -394 -295
     keg 323 -213  36
     nxi -460 101  49
    dkf9 -149 -333 203
     4eq 469 -316 -493
    7vcj -53 132 -124
 rpwup1u 444 269 -171
   8tl6t 240 344  66
   dx71c -177 -454 211
    0ftl -221 -75 204
   hlcob 159 -103 -283
 2hc9qvy 440 -218 297
     m5z 132 253 470
    4gao 411 -411 107
   j5a51 -20 349 469
     ruc -173  47 490
   yct2h 222 227 241
   gzb0t 356 -68 -110
 h597qva -356 -99 -264
   qo0nw  -4 148 260
    hoa7 227 -473 491
   x2aye 317 -325  95
     8la 362 -298 -471
tsojcsg3 -237 -400 -215
  x8mqod 164 411 -446
    0pf1 405 249 -129
  n6gx21 -185 120 217
mgm624iu 440  58 -51
   y168z -342  49 -270
 ej9e7kw  35 497 488
  g03nnt -378 438 -153
   0hqdb -91  78 -281
 2nbdslw 101 -412 -101
  y6vv89 -190 -373 170
    y8ro 402 279 117
  rvcmb8 -460 -205 -439
  kicban -95 261 -280
  habclf -38 -410 -14
   f3qkt  49 -366 -258
  jmbf8i -19  25 -237
    dcod 275 -173   8
   6h587  60 304 -367
   awlya 136 -398 -258
    3oof -332  62 252
    nmg1 -331 -104 -60
    afpq -453 -414 -404
   q3aff 121 322 -234
    m7qa -432 -159 286
    hmj6 -409 133 167
     ed4 438 -151 124
     n32 -319 -372  86
   o8g5h  66 -442 152
 vk0nvp7 -409 -247  -2
   z8119 -472 -381 157
    77sv 245 -286 -291
    47tk -347 -366 261
     fm7 -226 357 -185
    23vh -71 -248  16
   73w39 278 -385  79
 tc8tm15  -8 475 -177
  yagfik  23 -393  32
     0mw -204 -245 161
   ybini -406  81 333
   psyj3 222 449 -338
   huidc 185 175 -315
  2btkkd 438 -366 362
    i2le 121  85 471
   wo7bs 164 -472 -159
    mpv0  76  70  12
     c5f -200 -176 -134
    v3vo 487 211 -210
   vl4uk -492 -463 -308
    lh2w  35 498 340
   4sezb -352 491 192
     tul  23 139 320
    712e 423 -342 144
   jd59g -46  -7   9
     kcu  43 -154 431
    km19 -52  58 -295
   q7jw7 192 424 -26
   3lixe -57 496 -127
     lhu 261 -195 326
   kl6ox -486 -196 -188
    j5gi -386 -186 436
 or5f6bn -485 -307 -114
  z7bu2n 347 -261 153
    aoz8  16 482 -248
   3lixe -57 496 -127
    b3oh  -4 126 -47
     y6s 149  31 149
     wr9 148 202 -369
   wqmbd -65 -272 -383
   3lks8 142 177 338
     t4h 488 -267 -488
   s03rk 459 -82 -177
   z388e  44  48 189
   km50k 473 -201  42
   dplii 267 -267  64
  rsfhfx -430 -452 248
  ggnoqs 168  -6 261
   ug3nk 250 305 -32
 acr4pgs 411 -66 160
    qj2k -433 -453 -329
    4uew -382 467 -217
   yw0sy -68 -404 234
   0b8lt -109 -396 -184
  zl2i46  80 197 -312
   k8txr -340 -323 -306
   4i8su  -3 -331  90
   o6eqs -225 -410  32
   u3v4h 426 -113 -170
  7yy0iu 135 -473 499
     pjl 365 479 337
    2gnh 219 -157 376
  gwus2n -434 -365 -496
  8oqwmu 332 152  67
  wczoiw -419 421 282
    on06 -462 -290 369
    bh5h  28 -161 -379
  cmq8fk 368 -194 226
 29w0mbp -42 113  33
     rgb -367 219 296
     sz9 129 -385 -245
    b40m 420  47 442
   3nwsb -431 -423  45
    0mk3 -240  55 -209
    9mwf -104 418 -440
    kdla -111 -29 -401
   4t67x 107 -309 -100
    mo2q -265  89 -72
   3lixe -57 496 -127
   hz4dd -23 266 -68
    eqoo  -4 -359  -9
  q3mezt -71 -251 -442
   insnu 192 -322 -42
     ugr 336 207 392
   g47pp  60 -136 468
     jd9 -99  96 241
 jtyttt5 -331 401 -230
    voun -462 -137 -453
   u19m3 156 389 -244
   b102t 295 -277 393
    bzzy 381 315 477
     jd9 -99  96 241
   ddc21 219 305 -180
 bdp3d05 -451 -208 455
   tfbdk 124 456  48
  e6g55d -70  97 395
    t3k7 -393 -409 337
   em8t8 -445 337 -196
  o5bdxo 367  35 -353
    dead -144 -358 -327
guwgrde2 -78 -279 467
   0kook -473  83 377
  u2tle7 153  94 -251
 cd7y49p 290  25 367
    1xl2 -199 404 -322
   hjtqk 422 -340 -350
   h7y02 -441 -334 116
    5isn -69 -144 -112
   0gfy6 -144 -236 -113
   58bhn -389 -289 -358
 qxda6aa 288 390 324
  i19c78 -122 454 222
     r9v -456 -202 -38
     9y1 -149 238 140
     uq2 238 419 -176
    pjm1 484 -243 -187
   dioi2 -266 138  39
     yyu 309 164 -245
  gkdfr6  61 409 -482
    j7lz 127  27 -462
   q1hsb 244 -35 -166
    b5o2 216 124 376
   fboai -205 -272 356
    31r6 -389  19 401
  crxrel -441 238 -469
    1e19 -317  56 373
   1ywlf -188 -339 334
    cz4g -236 212 269
   mmfq4  54 242 236
   xf6cg -290 -470 242
  s5a89l -462 -86 124
   b7c6i 192   4 -333
    hrak  97 386 -209
    jvul -220 -459 495
  3aovdy 162 -349 -24
 ho9ymiw -253 152 -236
   gq68r -191 -11 -456
   1cbaf 255 269 322
   6xka7 180 -77 -199
    qiw2 -375 331 195
 ro0v0pq -374 -148 304
 9i1rtky -350 -327  56
   8mcrx -80 -361 150
    lnn7 -442 -288 -262
   zt0v9 -62 -381 148
    us1g 309 -359 -84
 6di0mpj 158 -204 -40
     iul 133 207 -362
    261j 338 -244 427
   uwcpd 140  14  14
    n8q6 -435 466 240
 7sv7hnw -136 161  32
   41im1 481 109 -148
    25fj 396 -313 -286
 p5p15fe -67  -9 273
 i8v8nwo -419 -66 157
    jhn5 346  77 449
  m9nvhn  27 -447 -145
   ch3up 378 -146 -349
  gp5h4d 177 -330 -238
     eff 370 -420 -203
     osl -361 151 251
   mel1k 170 -258 276
  3m6hym 371 -377 -312
     rgb -367 219 296
   d0g7z -483 -108 -471
   316jj -38 -351 283
     mgh -203  56 163
    tz7f 287 371  78
    9qwn -59 216 -313
    z19v 201 -261  32
  yoso9v 334  45 -338
    h3gq -479 -111 262
 k6bd64g -143  -4 -195
    rdqd -319 -168 275
    0txs -356 -80 366
  br0h92 -428 208 -359
     0ld 251 -471 111
    tgu7 -335 -63 477
     a9s 478 405 444
    n01u 217 122 -81
   bh6br -70  46  31
   88qzd 242 290 -350
     vy8 311 287 -86
   k9q0q 469 197 344
 i8ycwro -343 -73 -118
    vdw1  14 -474 152
  cuhcg5 -369 -107 382
     7rj -117 -54 -305
    b1c0  92 -436  20
   42oed 432  90 -452
    f72s 378 440 -395
     klv 439 347 -268
     ufo  53 400 338
    6c54 275 415 -177
  51fep1 -291 -35 217
   2111s 179 -147 357
    qh94 -140 -37 -224
   8jm7z 232 -389 -443
y5vepo5h -25 -114 -78
    ag8l -147 143 -39
   f5563 192 318  82
 y33nbky -331 478  52
   vih6a  52 -445 -276
    utgi 461 342 183
  5dp5ni 230 391 458
    y3c0 -217 471 -441
 p5sb2te -490 -443 -343
    xs2u -236 481 -110
   et6aj -400 -106 -399
    undq -199 -393 454
   02m31 -293  18 185
    mqt3 156 -217 334
     61m -258  23 -15
   psyj3 222 449 -338
  thxzsc -94 -18 -473
    2aw4 445 -435 495
   w6j15 -465 426 112
    zy9p -345 -383 -200
  szw9pc -336 -440 412
  5wk6qy 231 -495  44
  skku8j 336 -220 -206
    cah0 115 210 -204
   pj76i -468 -19 -41
   b2dqy 174 -135 345
  x48hhj  12  48 -331
     7oe -362 -66 -87
   w6wbb   3 -299 -205
   47hzf -335 442 -150
     gp6 117 234   0
     i9j -375 212 180
     y8q  79 -133 -343
  5p75hu -346 -405 -266
  m18c8p  57 -152  36
   66oi4 409 245 -25
 tmesthu 424 -204  86
   vmmah 333 405 -238
    l9b4 125  97 -235
     1op 218 -443  83
    vmv5 -21 -283 -217
     kyx 132 315  16
     pbq -273 -179 -401
     9qp -241  49 -38
    hrvn 102 269 -51
   5g9je 180  60 409
   bq4la 486 -131 -281
  5tif6q -360 -227 230
  z8j9po 482 -424 277
    ql6k -60 -392 -344
  mfq9x4 -247 -234 -22
   k6nki -139 206 -387
     hyq 117 486 227
    xq9l -129 -340 -141
    ji3y -433 363 457
    b0nj 328 236 179
     yqd 200 -387  83
  kbjgdh 262 -408 -397
    qesu -182 316 381
     351 -357 -115 453
    qj0g 135 144 -363
 yvk1kgb  21 304  46
   seynt -232  26 286
 ceurojl -462 -472 -288
    cyub -412  28 309
     qov -299 166 -357
 6epmpqs -352 124 -388
    trre -292 429 -311
  1vn9dd -169 -420  97
    i893 102 245  78
     5bt -306 -322 153
 2co6wru -132 -99 -258
    uicz -356 202  56
    8s3t -143 110 -447
     ruc -173  47 490
   43bms -267 -497 292
   xgapd 205 -137 -58
   binsw -98 100 -399
   6ycuv 451 -367 -12
    clft -246 145 332
    gn5h 456 382 144
  bwktvl 133  92 -476
     2f4  81 245 -353
   xfiqy -438 -423  83
     kud 149 -197 -103
    agj3 -378 -473 484
     fpz -380 333 -391
 d7dpvsn -154 318 271
   1mya8  -2 -302 -448
    2ic3 -41 -89 -262
   3exfn 213 347 302
  hcbdkv -37 -123 170
    wc8s -369 -500  75
    fi8c 207  44 -176
    mx26 112 -348 -419
    hvmf -298 -391 -177
 c9hef15 328 -133 -120
     msc  33 143 -240
   5jd72 -366 264 492
    jwqc 102  -1 193
  n55n3q 412 101 170
    sfgb -356 354  13
  b82i2j -117 333 -15
   ayge5 129 -190 -288
mliu7zzm 254 -269  87
     kua 260 -22 -238
   274c0 346 -481 -321
  v1nydm -374 259 390
   97v0h -320 104 290
     dec 246 434 -449
 q9zlzs3 281 -44  97
   qw6uu -312 -273  29
    iee5 -355 280 183
   b5v56 -145 403 -184
    fzpb -281 -110 -250
   1w3sd -446 275 -222
   d7da2 143 -161 240
     709 420 275 144
    igzo 182 -495 389
 r9ebj9c -193 385 174
    x8w8 184 -182 -306
 hcd3n9m -407 -346  42
    yabk -119  -1 -448
  vtol0l 233 307 118
  l8e2fm 187 426 442
    3s9s  84 475  56
   3cgj3 475 -157 216
 utzk59k 362 -396 493
    x1un -139  95 272
    jkfq -225 -47 191
    j2rs -470 -115 -74
    2zp9 -430 261 -120
     7qm -409 446 395
     jfa -472 -465 469
   j0fog -110 -455 -96
    g7ro 209 153 -223
 bg3z2rd -266 -362 -250
 fvnb207 127 -287 499
   3exfn 213 347 302
   fbxi6 393 229 171
  d82st2 -282 194 -483
    v87n  59 281 331
  d8g48s -87 -255  -8
 zc8pi0q -390 -369 -111
  sg8la2 -253 353 -468
   fsfjf -212 274 -35
  1j9ueh -11 -58 -57
  d617el  23 472  47
   cz0m9 -137  65 -101
  d8yhs6 330 112 118
   4wrfv 154 -118 -492
     azw -278 344  69
    4910  -7 -20 453
  85ayex 403 -370 267
    1vc4 204 -27 280
     5bz  51 201 -146
   1fesv  48 -349 -452
   f3qkt  49 -366 -258
    x0h8 -53 -448 -100
    9rf6 -41 -203 -497
 60sniuj -46 183 299
     pc4 -123 292 -231
     ed4 438 -151 124
     r9v -456 -202 -38
  dxk1ws 224 -117 440
    hmpl 231 -104 410
 9iwu77u 324 459 399
    d843 172 494 -251
    722v -412 -275 -293
    t90w -161 497 -37
     a8b 384 322 -454
    brh4 246 409 403
    gkwn 156 -332 -466
    vzsw 364  58 -422
    4ba8 -230 -322 426
   xcz57 424 -142 -267
  skku8j 336 -220 -206
   82i9d 135 -57  97
    icos 303 -429 221
  hlaotm 315 331  28
   19top -371 -284 464
  jpoycw 463 356  78
 wyw5qjb 437 199 346
  eq00or -435 -479 -392
   o29dj -160 269 120
  sxahv5 -279 284 209
  42m16d -170 184 -29
    3run -145  87 -93
    ipaw 265 -364 -284
   2tf4i 190  74 433
  a782gf  31 -385 -156
     ktn 485 -414 -335
    pun6 444 -420 -406
     xfi -36 247 -418
   d1j4x 453 -430   7
    q7se  91 389 220
 sukeskx -248 316 -336
    4bfu -335 -325 204
     rv2 100 -121 -39
     ie0 -205 -206 -32
  8uzorc -351 126 -233
   11ky2 -278 298 208
    abcm  -9 -290 490
     vxc  69 204  20
     bug 302 466 -180
  6b3tyc 126 279 207
    r1np -117 216 -479
   j1bsg  52 -87 -383
    ay2x 409 -308 -56
   6fcw1 388 222 -438
     jy5 -190 418 174
  y2agu7 -114 119 -477
    txxx 181 -135 -157
    lhmx  -4 -203  67
    sacy -39 -415 203
    p8ju -256 495 -400
   ryaxc -185 -11 -216
    z417 495 -11 -246
     2q6 -329 449 124
   r6hwh -287  79 409
  hkp04q 269 -35 -321
   k00ez -280 -445 -297
   nbd3r -296 -185 -302
     i3q 322 276 336
 ikddnyp 491 -310 -160
    64aj -194 -231 -283
     c61 -27  29 -365
    yi6y 461 118 134
   wqfdh 265 411  82
     v4i 260 -157 -147
  0mxyud -359 408 -163
    wrrx -93 -383 -17
     gfn -441 -481 -330
   8p1g3 -400 -370 234
    wc8s -369 -500  75
    0bg5 -43 -51 396
   j0kkg -339 476 451
  x33o9q -160 -155 -135
    sz0k -445 -81  66
    ta0z -288 -103 251
    sqoc -212 -438 -328
    4itm -410 475 -494
    oonp -160 432 -186
    j6vo 112 472 -196
     p04 -238 -280 -49
  7mnq5n -120  19 438
    3fgq -479   9 -397
   c5m2g 291 162 -364
   k11l6 386 -285 136
     m3y 459 -429 280
   h3139 149 -301 -371
    9mph 224 397 238
    zjcu -70 163 199
 j7bnzuy 276 -137 -69
   9nr4j  11  61 -472
    lj56 128 266 149
     116 -296 340 -274
5g23qrt2 200 421 499
 mzw7yfi -177 141 -180
    mcs4 -37 -29  28
    rxau -77 182 -338
     9c1 342 -214 -173
  07l8jv -123 -179 151
 hrk9z9w 278 144 -443
     b10 -236 -490 412
    4zwy 372 450 -210
   396ja -466 406 -153
  2fp4j8 -71 -438 388
    y23c  88 -160  23
  qkqusa -346 -498  98
  o5tq4a 181  90 -38
 awy1enl -44 -429 -447
     glu -19 -269 201
    zkff 258 -268 151
   6bf2y  94 -286   8
   qgyww 101 425 -477
   6hfjh -45 268 166
 uko5kmg -346 276  84
     xzy  66 436 -211
   lcr30 -367 -442  34
   5c4qd 127 424 -308
    fjsv 419   9 -190
    q1r1 -280 -50 473
   cfhhj -394 200 100
--------------------
  Total: -6223 -21455 -1395
